source_path,compatibility_status,proposed_category,proposed_subcategory,proposed_final_path,routing_role,placement_confidence,placement_basis,placement_concern,future_structure_candidate
task-folder/agents/skills/seo/seo-skills-main/illustration-ideas,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/illustration-ideas,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/ecommerce-seo,Supported after conversion,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/seo-ecommerce-seo,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/seo/seo-skills-main/extensions/ahrefs/skills/seo-ahrefs,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/seo-ahrefs,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/extensions/dataforseo/skills/seo-dataforseo,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/seo-dataforseo,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/extensions/firecrawl/skills/seo-firecrawl,Approved and supported,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/seo-firecrawl,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/seo/seo-skills-main/extensions/profound/skills/seo-profound,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/seo-profound,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/extensions/bing-webmaster/skills/seo-bing,Approved and supported,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/seo-bing,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/seo/seo-skills-main/extensions/unlighthouse/skills/seo-unlighthouse,Approved and supported,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/seo-unlighthouse,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/seo/seo-skills-main/extensions/seranking/skills/seo-seranking,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/seo-seranking,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/extensions/banana/skills/seo-image-gen,Supported after conversion,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/seo-image-gen,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/seo/seo-skills-main/notebooklm/notebooklm-create,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/notebooklm-create,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/notebooklm/notebooklm,Ambiguous and requiring manual review,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/notebooklm,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/search-intent-coverage,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/search-intent-coverage,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/serp-analyzer,Ambiguous and requiring manual review,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/serp-analyzer,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/linking-opportunities,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/linking-opportunities,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/product-launch-orchestration/skills/risk-playbooks,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/risk-playbooks,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/product-launch-orchestration/skills/launch-tiering,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/launch-tiering,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/product-launch-orchestration/skills/war-room-ops,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/war-room-ops,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/data-enrichment-master/skills/data-sourcing,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/data-sourcing,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/data-enrichment-master/skills/firmographic-analysis,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/firmographic-analysis,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/growth-experiments/skills/hypothesis-library,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/hypothesis-library,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/growth-experiments/skills/guardrail-scorecard,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/guardrail-scorecard,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/growth-experiments/skills/experiment-design-kit,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/experiment-design-kit,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/intent-signal-orchestration/skills/suppression-logic,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/suppression-logic,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/intent-signal-orchestration/skills/signal-scoring,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/signal-scoring,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/intent-signal-orchestration/skills/outbound-plays,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/outbound-plays,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/brand-strategy/skills/brand-governance-os,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/brand-governance-os,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/brand-strategy/skills/brand-measurement-dashboard,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/brand-measurement-dashboard,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/brand-strategy/skills/brand-narrative-playbook,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/brand-narrative-playbook,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/brand-strategy/skills/experience-system-blueprint,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/experience-system-blueprint,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/brand-strategy/skills/brand-voice-glossary,Approved and supported,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/brand-voice-glossary,child_skill,high,Primary outcome is localized and geographic search ranking optimization.,None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/abm-orchestration/skills/personalization,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/personalization,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/abm-orchestration/skills/signal-intel,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/signal-intel,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/abm-orchestration/skills/account-tiering,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/account-tiering,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/video-marketing/skills/production-ops,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/production-ops,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/video-marketing/skills/scriptwriting,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/scriptwriting,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/video-marketing/skills/distribution-analytics,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/distribution-analytics,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-coaching/skills/coaching-framework,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/coaching-framework,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-coaching/skills/call-highlights,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/call-highlights,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-coaching/skills/reinforcement-drills,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/reinforcement-drills,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/social-media/skills/community-engagement,Approved and supported,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/community-engagement,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/social-media/skills/platform-frameworks,Approved and supported,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/platform-frameworks,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/social-media/skills/trend-research,Approved and supported,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/trend-research,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/personalization-engine/skills/decision-trees,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/decision-trees,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/personalization-engine/skills/content-variants,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/content-variants,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/personalization-engine/skills/governance,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/governance,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/account-management/skills/success-planning-framework,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/success-planning-framework,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/account-management/skills/account-health-framework,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/account-health-framework,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/account-management/skills/expansion-playbook,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/expansion-playbook,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/account-management/skills/exec-briefing,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/exec-briefing,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-operations/skills/roe-governance,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/roe-governance,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-operations/skills/capacity-modeling,Approved and supported,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/capacity-modeling,child_skill,high,Primary outcome is localized and geographic search ranking optimization.,None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-operations/skills/quota-health,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/quota-health,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-operations/skills/comp-mechanics,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/comp-mechanics,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-operations/skills/territory-optimization,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/territory-optimization,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/content-pipeline-orchestration/skills/asset-tracking,Approved and supported,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/asset-tracking,child_skill,high,Primary outcome is localized and geographic search ranking optimization.,None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/content-pipeline-orchestration/skills/distribution-checklist,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/distribution-checklist,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/content-pipeline-orchestration/skills/editorial-calendar,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/editorial-calendar,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/paid-media/skills/creative-variants,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/creative-variants,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/paid-media/skills/budget-optimization,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/budget-optimization,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/paid-media/skills/campaign-architecture,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/campaign-architecture,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/technical-writing/skills/doc-requirements-matrix,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/doc-requirements-matrix,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/technical-writing/skills/versioning-dashboard,Approved and supported,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/versioning-dashboard,child_skill,high,Primary outcome is localized and geographic search ranking optimization.,None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/technical-writing/skills/api-style-guide,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/api-style-guide,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/technical-writing/skills/quality-review-checklist,Ambiguous and requiring manual review,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/quality-review-checklist,child_skill,high,Primary outcome is localized and geographic search ranking optimization.,None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/copywriting/skills/voice-guidelines,Approved and supported,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/voice-guidelines,child_skill,high,Primary outcome is localized and geographic search ranking optimization.,None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/copywriting/skills/offer-testing,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/offer-testing,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/copywriting/skills/message-architecture,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/message-architecture,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/copywriting/skills/cold-email-personalization,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/cold-email-personalization,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/customer-feedback-orchestration/skills/survey-design,Ambiguous and requiring manual review,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/survey-design,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/customer-feedback-orchestration/skills/stakeholder-ops,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/stakeholder-ops,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/customer-feedback-orchestration/skills/insight-synthesis,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/insight-synthesis,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/partner-co-marketing-orchestration/skills/asset-approval,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/asset-approval,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/partner-co-marketing-orchestration/skills/attribution,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/attribution,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/partner-co-marketing-orchestration/skills/co-branding,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/co-branding,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/marketing-analytics/skills/exec-dashboard-blueprint,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/exec-dashboard-blueprint,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/marketing-analytics/skills/channel-pacing-guardrails,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/channel-pacing-guardrails,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/marketing-analytics/skills/roi-benchmark-library,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/roi-benchmark-library,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/marketing-analytics/skills/attribution-playbook,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/attribution-playbook,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-handoff-orchestration/skills/routing-logic,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/routing-logic,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-handoff-orchestration/skills/enablement-kit,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/enablement-kit,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/sales-handoff-orchestration/skills/sla-tracking,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/sla-tracking,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/community-orchestration/skills/community-ops,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/community-ops,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/community-orchestration/skills/sentiment-analysis,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/sentiment-analysis,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/community-orchestration/skills/escalation,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/escalation,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/product-marketing/skills/launch-plays,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/launch-plays,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/product-marketing/skills/positioning,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/positioning,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/product-marketing/skills/competitive-intel,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/competitive-intel,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/email-marketing/skills/ab-testing,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/ab-testing,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/email-marketing/skills/segmentation,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/segmentation,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/email-marketing/skills/drip-campaigns,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/drip-campaigns,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/seo/seo-skills-main/gtm-agents-main/plugins/email-marketing/skills/deliverability-ops,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/deliverability-ops,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
